term,E,P,A,E2,P2,A2
groom,1.67,0.50,-0.45,1.67,0.50,-0.45
guide,2.13,1.37,-1.20,2.13,1.37,-1.20
gyp,-2.21,-1.31,1.40,-2.21,-1.31,1.40
halt,-0.07,0.53,0.12,-0.07,0.53,0.12
hand something to,1.10,0.69,-0.63,1.10,0.69,-0.63
handcuff,-1.50,-0.12,0.79,-1.50,-0.12,0.79
harm,-2.52,-0.55,1.48,-2.52,-0.55,1.48
have sex with,-0.56,-0.32,1.12,-0.56,-0.32,1.12
heal,2.54,1.78,-0.71,2.54,1.78,-0.71
heckle,-1.65,-0.43,1.11,-1.65,-0.43,1.11
hire,0.77,0.45,-0.55,0.77,0.45,-0.55
hold,0.52,0.33,0.23,0.52,0.33,0.23
horse around with,-0.47,-0.34,1.01,-0.47,-0.34,1.01
hug,1.80,0.85,-0.45,1.80,0.85,-0.45
hurry,-0.49,0.05,1.23,-0.49,0.05,1.23
hurt,-2.68,-1.44,1.76,-2.68,-1.44,1.76
ignore,-1.66,-0.99,0.03,-1.66,-0.99,0.03
imitate,-0.55,-0.83,0.43,-0.55,-0.83,0.43
incarcerate,-2.08,-0.12,1.46,-2.08,-0.12,1.46
incriminate,-1.63,-1.16,0.98,-1.63,-1.16,0.98
indoctrinate,0.40,0.53,-0.08,0.40,0.53,-0.08
inform,0.84,0.24,-0.13,0.84,0.24,-0.13
inject with medicine,0.50,0.78,-0.11,0.50,0.78,-0.11
injure,-2.42,-1.26,1.20,-2.42,-1.26,1.20
inspect,-0.33,-0.34,0.08,-0.33,-0.34,0.08
insult,-2.91,-1.85,2.00,-2.91,-1.85,2.00
interrogate,0.63,0.98,-0.14,0.63,0.98,-0.14
interrupt,-2.09,-1.09,1.62,-2.09,-1.09,1.62
interview,1.99,1.20,-0.70,1.99,1.20,-0.70
jail,-1.77,-0.02,1.50,-1.77,-0.02,1.50
jeer,-2.59,-1.04,1.60,-2.59,-1.04,1.60
joggle,1.37,0.58,-0.96,1.37,0.58,-0.96
join up with,1.38,0.72,-0.89,1.38,0.72,-0.89
joke with,1.20,0.77,0.43,1.20,0.77,0.43
josh,1.75,1.03,-0.35,1.75,1.03,-0.35
kick,-2.30,-0.47,1.55,-2.30,-0.47,1.55
kill,-2.25,-0.51,2.23,-2.25,-0.51,2.23
kiss,1.25,1.05,-0.63,1.25,1.05,-0.63
knife,-2.47,-0.65,1.81,-2.47,-0.65,1.81
knock out,-2.34,0.01,2.08,-2.34,0.01,2.08
laud,0.31,-0.26,0.02,0.31,-0.26,0.02
laugh at,-1.61,-0.76,1.02,-1.61,-0.76,1.02
laugh with,1.78,0.97,-0.15,1.78,0.97,-0.15
lay off from a job,-1.22,-0.27,0.92,-1.22,-0.27,0.92
lead,1.12,0.76,-0.53,1.12,0.76,-0.53
leave,-1.04,-0.65,0.61,-1.04,-0.65,0.61
lecture,1.40,0.94,-0.37,1.40,0.94,-0.37
leer at,-1.09,-0.92,0.57,-1.09,-0.92,0.57
lend money to,1.40,1.13,-0.54,1.40,1.13,-0.54
lie to,-2.27,-1.89,1.24,-2.27,-1.89,1.24
listen to,1.89,0.93,-0.99,1.89,0.93,-0.99
look at,0.52,0.55,-0.36,0.52,0.55,-0.36
look away from,-0.61,-0.52,0.22,-0.61,-0.52,0.22
lunch with,2.10,1.48,-0.83,2.10,1.48,-0.83
lust for,-0.24,-0.45,0.46,-0.24,-0.45,0.46
make business proposal to,1.86,1.49,-0.66,1.86,1.49,-0.66
make fun of,-2.13,-1.97,1.41,-2.13,-1.97,1.41
make love to,-0.18,0.28,0.94,-0.18,0.28,0.94
make up with,2.56,1.54,-1.40,2.56,1.54,-1.40
malign,-2.45,-2.25,0.87,-2.45,-2.25,0.87
marry,1.85,1.22,-0.91,1.85,1.22,-0.91
massage,1.14,0.99,-1.07,1.14,0.99,-1.07
medicate,1.99,0.82,-0.92,1.99,0.82,-0.92
mimic,-0.80,-0.97,0.58,-0.80,-0.97,0.58
molest,-2.16,-0.81,1.19,-2.16,-0.81,1.19
monitor,-1.40,-0.92,0.37,-1.40,-0.92,0.37
mother,2.77,1.83,-1.22,2.77,1.83,-1.22
mouth off to,-0.62,-0.14,1.08,-0.62,-0.14,1.08
mug,-2.30,-0.64,1.21,-2.30,-0.64,1.21
mumble to,-0.87,-0.63,-0.30,-0.87,-0.63,-0.30
murder,-3.28,-1.25,1.41,-3.28,-1.25,1.41
nag,-2.07,-1.35,1.40,-2.07,-1.35,1.40
neglect,-2.16,-2.01,0.70,-2.16,-2.01,0.70
